_id,name,sku,description,price,discount_price,category,gender,stock,featured,trending,season,sizes,colors,material,tags,release_date,weight,images,created_at,updated_at,sales_volume,sales_date
9036ca82049b41ffb50cebea,Water Pants,SKU10000,This is the description for Water Pants.,17.05,10.0,Pants,Male,90,False,True,Winter,"S,M","White,Black,Blue",Wool,"casual,formal",2024-08-07,1.3,https://images.unsplash.com/photo-1581515281255-18b6d1193a3e,2024-08-01,2024-08-06,14,2025-01-28
5ba49345557c4f28bbed38a1,Line Sneakers,SKU10001,This is the description for Line Sneakers.,268.57,164.51,Accessories,Male,35,True,True,Summer,"XL,L","Green,Red",Wool,formal,2023-11-15,1.15,https://images.unsplash.com/photo-1523275335684-37898b6baf30,2023-11-05,2023-11-22,24,2024-01-20
b780038115a242bf993379f5,No Shirt,SKU10002,This is the description for No Shirt.,44.73,,Pants,Unisex,40,True,False,Spring,"XL,M","Red,Blue,Green,Black,White",Cotton,"casual,new",2023-08-04,1.24,https://images.unsplash.com/photo-1581515281255-18b6d1193a3e,2023-07-29,2023-08-02,0,2024-10-19
ff3b3b81ca404ed49bfe83b9,Which Pants,SKU10003,This is the description for Which Pants.,131.15,77.38,Shirts,Female,26,True,False,Winter,"S,L,M,XL","Red,White",Polyester,"casual,sale",2023-04-13,0.51,https://images.unsplash.com/photo-1581574209463-3b6b0d0c4a07,2023-04-07,2023-04-26,189,2023-12-01
e1fbd451454047279d85a059,Issue Sneakers,SKU10004,This is the description for Issue Sneakers.,196.09,145.49,Pants,Female,45,False,True,Summer,"L,S,M","Green,Black,Red,White,Blue",Leather,"new,formal,casual",2022-11-24,1.6,https://images.unsplash.com/photo-1581515281255-18b6d1193a3e,2022-11-15,2022-12-11,121,2023-11-30
7d1f47917d464a77b94f3232,Industry Pants,SKU10005,This is the description for Industry Pants.,251.49,144.59,Shirts,Unisex,80,False,False,Spring,"L,XL","Green,Red",Cotton,"sale,new,formal",2022-03-18,0.76,https://images.unsplash.com/photo-1581574209463-3b6b0d0c4a07,2022-03-01,2022-03-18,11,2024-08-23
de0c2c561e064fd28d271aed,Cold Sneakers,SKU10006,This is the description for Cold Sneakers.,199.0,,Pants,Female,81,True,False,Autumn,"XL,S,L,M","Red,White",Polyester,new,2024-10-17,1.07,https://images.unsplash.com/photo-1581515281255-18b6d1193a3e,2024-10-13,2024-10-31,35,2025-02-28
573b076aef3d4cee8703c276,Cut Jacket,SKU10007,This is the description for Cut Jacket.,57.01,50.7,Accessories,Female,88,True,True,Autumn,"XL,S",Blue,Cotton,"bestseller,formal",2023-04-20,1.61,https://images.unsplash.com/photo-1523275335684-37898b6baf30,2023-04-17,2023-05-15,299,2023-08-20
f2de20090b3347c3b828d07d,Claim Pants,SKU10008,This is the description for Claim Pants.,125.22,94.27,Shirts,Male,56,True,True,Summer,"L,S,M,XL","White,Green",Wool,"formal,casual",2023-04-21,1.72,https://images.unsplash.com/photo-1581574209463-3b6b0d0c4a07,2023-03-25,2023-04-09,266,2025-01-31
1c29b2afcd8a4dd1a1d0b792,Investment Pants,SKU10009,This is the description for Investment Pants.,208.93,148.4,Pants,Female,51,False,True,Autumn,"S,XL","Red,Blue,White,Green",Wool,"formal,sale,casual",2022-06-13,0.44,https://images.unsplash.com/photo-1581515281255-18b6d1193a3e,2022-06-11,2022-07-04,48,2024-10-10
